reviews,cleaned_review,compound_score,label
"It has been more than 3 weeks since I got the new iPhone 12 mini.I have been an Apple customer since 2013. The first one was an iPhone 5. I had been using a 1st Gen iPhone SE since mid 2017. Even today the iPhone SE is a beast for regular usage. I had started loving the new iPhone 12 mini since its launch - as I like the flat edges and the small size.However, I had no plans to upgrade now. I usually wait until the new technologies (the full screen OLED display for example) to become stable and mature enough. I also wait until the model I like is a year or more old, so that the price is much lower than the launch price. But, my iPhone SE which had survived several falls earlier, suffered another fall and this time the touch stopped responding. The screen replacement cost was almost as much as the price I had paid for that phone.I got a decent offer on the purchase of the new iPhone 12 mini on Amazon. As expected Amazon delivered a factory sealed phone, well packed, the very next day. Setting the new phone up was very easy being an Apple Customer already. I just had to upgrade the OS and restore from my iCloud Backup.I like the white color body and the glass back. Having used to the bezels of the iPhone SE, the bezel less screen is the most I like from my upgrade. The 12 mini is slightly bigger than the 1st Gen SE but the different in the viewable area is so amazing. I also like the OLED screen so much.Battery has not been a problem for me as I do not play any games. So, even 24 hours after a full charge, I am left with about 30%. I have not experienced any heating during charging or during normal use.The 4G speeds are noticeably increased compared to the 1st Gen SE. The WiFi speeds have a big jump. Everything downloads so fast. I do have a router at home that supports MIMO and I connect on the 5GHz channel.I have been mostly on the WiFi so far. I don't know how the battery life will be when I am out using 4G data for 8-12 hours a day.Overall I am happy with my purchase so far!",weeks since got new iphone mini apple customer since first one iphone using 1st gen iphone se since mid even today iphone se beast regular usage started loving new iphone mini since launch like flat edges small size however plans upgrade usually wait new technologies full screen oled display example become stable mature enough also wait model like year old price much lower launch price iphone se survived several falls earlier suffered another fall time touch stopped responding screen replacement cost almost much price paid phone got decent offer purchase new iphone mini amazon expected amazon delivered factory sealed phone well packed next day setting new phone easy apple customer already upgrade os restore icloud backup like white color body glass back used bezels iphone se bezel less screen like upgrade mini slightly bigger 1st gen se different viewable area amazing also like oled screen much battery problem play games even hours full charge left experienced heating charging normal use 4g speeds noticeably increased compared 1st gen se wifi speeds big jump everything downloads fast router home supports mimo connect 5ghz channel mostly wifi far know battery life using 4g data hours day overall happy purchase far,0.988,positive
"I bought this phone for its size. Wonderfully sized iPhone, very suitable for one handed usage. Very pocketable. But battery life is very less. Moderate usage also wont help you last a day.",bought phone size wonderfully sized iphone suitable one handed usage pocketable battery life less moderate usage also wont help last day,0.3903,positive
"Thanks to Apple for hearing the customer voice to bring in (another) small screen flagship mobile that’s easy to handle with one hand.This is my second iPhone and I’ve upgraded from SE first gen to 12mini.Undoubtedly it was the best choice for those who like small screen smartphone.Camera quality is great and it’s good in capturing Night mode, Wide angle and Portrait mode photos. It can capture video upto 4K 60fps, which is close to real-time recording.Sound quality is also good with Dolby playback and stereo video recording.It’s same spec as iPhone 12 with 5.4” screen.I’m getting 5+ hours of screen on time with regular use of watching YouTube, Insta, and WhatsApp. Battery life is good.Really a satisfying upgrade from SE1 ..","thanks apple hearing customer voice bring another small screen flagship mobile ' easy handle one hand second iphone ' upgraded se first gen 12mini undoubtedly best choice like small screen smartphone camera quality great ' good capturing night mode wide angle portrait mode photos capture video upto 4k 60fps close real time recording sound quality also good dolby playback stereo video recording ' spec iphone "" screen ' getting hours screen time regular use watching youtube insta whatsapp battery life good really satisfying upgrade se1",0.9851,positive
"If u r looking for a very compact designed secondary phone, u can definitely go for this.I got it for ~56k which i find not very much expensive since almost everything is similar to iphone 12.",u r looking compact designed secondary phone u definitely go got 56k find much expensive since almost everything similar iphone,0.4019,positive
"It’s been a month since I bought this little fella and I’m in real love. I switched from android so it’s so great to explore iOS and to have the best mini mobile that apple ever made.I was in the idea to buy SE2020 as it looked handy and twas budget friendly. But my friends suggested to go with the mini if I’m looking for a smaller phone. Yes, it’s almost twice the budget of SE, I was worried to spend much at first but, believe me, no regrets at all after using it for a while!!The screen quality is so amazing and elite, you don’t need to worry about battery it’s smooth and long lasting, (can pair with a 13w for a bit faster charging and it lasts a bit longer). The looks are ultimate and of course it is hard and sturdy as they say. It is so small it perfectly fits your palm like you can type with just one hand and also its so tiny in pocket, you won’t feel a thing.Only two things I miss are-touch ID (a very lot) and-personally, I’m not a big fan of the new full screen displays. Like I’ve had my peace with the older type, but its Good too.It felt weird at first with the small screen while switching from bigger mobile. After regular use it’s really comfortable to move my eyes just little to look at my phone.",' month since bought little fella ' real love switched android ' great explore ios best mini mobile apple ever made idea buy se2020 looked handy twas budget friendly friends suggested go mini ' looking smaller phone yes ' almost twice budget se worried spend much first believe regrets using screen quality amazing elite ' need worry battery ' smooth long lasting pair 13w bit faster charging lasts bit longer looks ultimate course hard sturdy say small perfectly fits palm like type one hand also tiny pocket ' feel thing two things miss touch id lot personally ' big fan new full screen displays like ' peace older type good felt weird first small screen switching bigger mobile regular use ' really comfortable move eyes little look phone,0.9908,positive
Received iPhone with scratches. Please arrange to return the product as I am trying but it’s not working. It’s used product.,received iphone scratches please arrange return product trying ' working ' used product,0.3182,positive
Buy only after checking the screen quality physically from a store.Iphone 12 series has a serious screen issue.The screen has an abnormally yellow shade comparable to sephia mode used in photos.It has reduced the display quality and overall content quality is impacted due to this.Service center has no answer for this they have given me in writing that its a manufacturing issue.Buy only if you are ok with an absolutely yellow screen like night shift is always on types even if its off.So beware - just search online for iphone 12 yellow tint issue.,buy checking screen quality physically store iphone series serious screen issue screen abnormally yellow shade comparable sephia mode used photos reduced display quality overall content quality impacted due service center answer given writing manufacturing issue buy ok absolutely yellow screen like night shift always types even beware search online iphone yellow tint issue,0.5667,positive
"1) If privacy means anything to you, Apple is the answer right now. Google has gone to the path of everything that is wrong with big techs, and it took me 6 months to entirely come out of google ecosystem.2) Best small phone out there, if android isn’t even an option for point 1, this is the only choice anyway. I waited for the right sized small phone with right specs from apple. It fits perfectly in pocket, in hand, good one hand usage, it’s blocky enough not to slip out of hand.3) If you’re taking a small phone, most possibly you have a life and phone isn’t your life. The charge will live through the day for “phone like usage”. 5 hours screen on time is more than sufficient. For gaming get a gaming PC or console, for big screen get a big screen TV. If you want all in one device, pay more, get a bigger phone, or get a battery pack maybe? I’m tired of the battery argument, it’s a “phone” !!4) iOS wasn’t very easy to understand for someone moving from android first time. But it’s not too hard either, about a week I was uncomfortable in situations I had to hurry to do something or get something done, after a month usage I forgot the fact I am still new to this. iOS is intuitive enough, simple for anyone to use.5) For whatever reason everything in App store is so costly ! Most app doesn’t have any India cost adjustment, and they just convert whatever price they have in USD to INR. So be prepared. If you don’t like ads, get a VPN with ad blocker or any VPN with custom DNS to AdGuard servers.6) Screen quality is brilliant, it’s vibrant, it’s crisp, it’s very colour accurate, get bright enough indoor and outdoor, under sunlight no issues using.7) Speakers are pretty good, stereo setup, had very good lows, doesn’t crack at high volume, but guess what, if I use earphones for watching videos - battery life goes way better. For watching movies, online courses, better use a earphone, you won’t realise it has a small battery.8) It doesn’t come with a charging adapter. I’m still using my pixel 2 xl charger. Charges fast to 80%, then it’s a bit slower - but i guess that’s an expects behaviour.9) The charging cable seems weirdly stiff, I have read only bad reviews about them so be careful handling charging cable, use it with care, it will last long.10) Phone cameras has gone very far these days. It’s a very good camera here as well. I’m coming from Pixel 2 XL which had great camera and this one is even better. I don’t think people really need to bother too much about camera quality here. 4K video recording at 60 FPS .. what do you want more !!","privacy means anything apple answer right google gone path everything wrong big techs took months entirely come google ecosystem best small phone android ' even option point choice anyway waited right sized small phone right specs apple fits perfectly pocket hand good one hand usage ' blocky enough slip hand ' taking small phone possibly life phone ' life charge live day ""phone like usage"" hours screen time sufficient gaming get gaming pc console big screen get big screen tv want one device pay get bigger phone get battery pack maybe ' tired battery argument ' ""phone"" ios ' easy understand someone moving android first time ' hard either week uncomfortable situations hurry something get something done month usage forgot fact still new ios intuitive enough simple anyone use whatever reason everything app store costly app ' india cost adjustment convert whatever price usd inr prepared ' like ads get vpn ad blocker vpn custom dns adguard servers screen quality brilliant ' vibrant ' crisp ' colour accurate get bright enough indoor outdoor sunlight issues using speakers pretty good stereo setup good lows ' crack high volume guess use earphones watching videos battery life goes way better watching movies online courses better use earphone ' realise small battery ' come charging adapter ' still using pixel xl charger charges fast ' bit slower guess ' expects behaviour charging cable seems weirdly stiff read bad reviews careful handling charging cable use care last long phone cameras gone far days ' good camera well ' coming pixel xl great camera one even better ' think people really need bother much camera quality 4k video recording fps want",0.9934,positive
"It’s an iPhone... that is it... I have been using iPhone 5s and 6s since 2015 and got this only because of the mini size to fit in palm and carry around. And this is good only for that. Notch and bezels are very distracting. And somehow 6s was better type than this one.The phone in itself is good, it has a fine camera though telephoto lens is missed too much while taking portrait shots.Photos and videos are bright and good dynamic range, but it’s night mode is very ordinary specially selfies.But the biggest pain point are the speakers and battery. The speakers are ordinary compared to competition. It hardly gives 3-4 hours power on heavy usage. And around 5-5.5 hrs power on normal usage.If not for its small size I always prefer one plus 8 pro over this one which by the way is 15,000/- cheaper this phone even when I got mini on discount.This could have been a solid 3.5 star phone if the price was right but it is definitely overpriced by at least 25-30k for the trade off you have to make at 70-75k phone you can get flagship level phones at this price. Take this only if you have to have small screen iPhone. It is of no other use.",' iphone using iphone 5s 6s since got mini size fit palm carry around good notch bezels distracting somehow 6s better type one phone good fine camera though telephoto lens missed much taking portrait shots photos videos bright good dynamic range ' night mode ordinary specially selfies biggest pain point speakers battery speakers ordinary compared competition hardly gives hours power heavy usage around hrs power normal usage small size always prefer one plus pro one way cheaper phone even got mini discount could solid star phone price right definitely overpriced least 30k trade make 75k phone get flagship level phones price take small screen iphone use,0.9468,positive
"To all those people who think it doesn’t have a good battery life, you’re wrong. It gives me 7+ hrs of screen on time always. And sometimes even 9+ hrs. I don’t do much gaming on it. Mostly insta, youtube, calling and video calls. It charges really quick with apple’s 20 watt charger. Performance is awesome as expected. Camera is significantly better than iphone 11. And display just crushes iphone 11 lcd display. It’s really slim and lightweight but sometimes screen feels a bit small. Like sometimes i wish to be a lil bigger like 5.8” but then again the weight is something that I enjoy every time i hold it. Most of the media i consume is on ipad so if you only have your phone for media consumption, don’t go with it. Save a lil extra and go with iphone 12.","people think ' good battery life ' wrong gives hrs screen time always sometimes even hrs ' much gaming mostly insta youtube calling video calls charges really quick apple' watt charger performance awesome expected camera significantly better iphone display crushes iphone lcd display ' really slim lightweight sometimes screen feels bit small like sometimes wish lil bigger like "" weight something enjoy every time hold media consume ipad phone media consumption ' go save lil extra go iphone",0.9423,positive
"Delivery :- As usual spot on got the phone jaut before lockdown at my place.Battery Life :- Average, can last a day depending on your usage. But battery drain is there since its a pretty powerful chip eventhough the screen is 5.4”.Screen :- Beautiful OLED screen doesnt make me miss 120hz.Device overall :- Compact, powerful, beautifully craft piece and can be used pretty easily with one hand.Who is this device for :- a. Those who are tired of big screen phones. b. Who dont do hardcore gaming. c. Who isnt glued to their phone 24/7 - SOT will be around 8 hr mark for normal use. d. Who want the best iPhone but cant splash a hell lot of money🤪I love this iteration of iPhone even though its small and its a lot better than iPhone SE.","delivery usual spot got phone jaut lockdown place battery life average last day depending usage battery drain since pretty powerful chip eventhough screen "" screen beautiful oled screen doesnt make miss 120hz device overall compact powerful beautifully craft piece used pretty easily one hand device tired big screen phones b dont hardcore gaming c isnt glued phone sot around hr mark normal use want best iphone cant splash hell lot moneyi love iteration iphone even though small lot better iphone se",0.9899,positive
"One of best phone from apple so far. I used to love I phone 5S because of the looks and feel of that and here we go, Its I phone 12 looks similar to that but much more powerful. Amazing compact phone.",one best phone apple far used love phone 5s looks feel go phone looks similar much powerful amazing compact phone,0.9432,positive
Screen size is usually small as compared to what we r used to these days but m happy using this mini version of iPhone... battery could b better as it’s not a big deal to improve for Apple but God knows why they r not working upon it... otherwise people who r stil not adjusted with big mobile phones should definitely consider this one as I was not happy with my earlier 6.4 screen size mobile just bcoz it wasn’t handy for me... must buy,screen size usually small compared r used days happy using mini version iphone battery could b better ' big deal improve apple god knows r working upon otherwise people r stil adjusted big mobile phones definitely consider one happy earlier screen size mobile bcoz ' handy must buy,0.9517,positive
I’m not sure whether I’m holding IPhone 12 mini or Mi phone. It is heating too much and some times hanging when I use. I just got 3 days back. Not sure whether it will same across this product or only I received faulty one,' sure whether ' holding iphone mini mi phone heating much times hanging use got days back sure whether across product received faulty one,0.3182,positive
"Good phone with less battery. Remind me of my old sony z1 compact. Iphone 12 mini is a small beast you need to survive everyday. Great camera, great display. Water and dust resistance seems good for men with laborious activities like me. I wish battery could have been better.",good phone less battery remind old sony z1 compact iphone mini small beast need survive everyday great camera great display water dust resistance seems good men laborious activities like wish battery could better,0.9686,positive
This is my first apple device and the worst experience with Apple. Keypad freezes now and then ( don't know whether apps are not optimized for the device or device itself is the problem). Even I've got first unit replaced yet not satisfied with the other that I've received as replacement. Don't know if the problem is with 12 mini or with my device.,first apple device worst experience apple keypad freezes know whether apps optimized device device problem even got first unit replaced yet satisfied received replacement know problem mini device,-0.5859,negative
"One of the best iPhone ever made, have been using for more than a month now and assuming it’s a right time to share my experience with an iconic iPhone.PlusesAesthetics - simply phenomenal, no more need to hold with two hands while writing a text or sending messageWeight- super light phone to hold even with coverPerformance- A14 Bionic chip is super fast and get all work done with an easeCamera - one of the best camera phone i have used in recent times, no comparison between iPhone pro max pictures otherwise it’s super bright and clear even night pictures are decent comparative to old iPhonesDeltasPower adapter and Earphones are not available which is a bummerBattery life could have been betterOne request to all iPhone users out their, please buy iPhone 12 mini and I’m sure u fall for it every day and revive ur iPhone 4,4s,5 and 5s memories.Thanks,Saurabh Gunwal",one best iphone ever made using month assuming ' right time share experience iconic iphone plusesaesthetics simply phenomenal need hold two hands writing text sending messageweight super light phone hold even coverperformance a14 bionic chip super fast get work done easecamera one best camera phone used recent times comparison iphone pro max pictures otherwise ' super bright clear even night pictures decent comparative old iphonesdeltaspower adapter earphones available bummerbattery life could betterone request iphone users please buy iphone mini ' sure u fall every day revive ur iphone 4s 5s memories thanks saurabh gunwal,0.9888,positive
Did the device meet my expectations? I guess after 2 months of research i pretty much knew all the pros and cons of the device before buying it so i knew what i was getting into. Overall id say that im satisfied with the device.Over the internet mostly the complaints had been regarding the battery life of the Mini and honestly it didnt bother me at all. Gets me through the day easily and with a fast charger it charges up pretty quick aswell.The issue that conerns me is initially when the phone came out it had touch problems while using with a case and screen protector which apple has fixed but i feel that while the phone is charging the touch tends to misbehave.Phone might heat up while charging or playing alot of games.You might think that the screen size is too small for you but honestly switching over from bulky oneplus phones i feel this is more appropriate even with big hands.. i do make some mistakes while typing but ehhh you’ll get used to it. The quality of the display very much makes up for its size and watching HDR videos in 4k is just amazing.With the prices going down i would recommend going for a regular iPhone 12 but if the mini is something that suits your budget more you should go for it.,device meet expectations guess months research pretty much knew pros cons device buying knew getting overall id say im satisfied device internet mostly complaints regarding battery life mini honestly didnt bother gets day easily fast charger charges pretty quick aswell issue conerns initially phone came touch problems using case screen protector apple fixed feel phone charging touch tends misbehave phone might heat charging playing alot games might think screen size small honestly switching bulky oneplus phones feel appropriate even big hands make mistakes typing ehhh ' get used quality display much makes size watching hdr videos 4k amazing prices going would recommend going regular iphone mini something suits budget go,0.9305,positive
"Battery life is small compared to modern day android phones, but it lasts me a whole day on intermediate use with 20-30% left at the end and it additionally charges 50% in half hour so thats handy.Love the form factor, been craving for a smaller device for a long time.Works like a charm!",battery life small compared modern day android phones lasts whole day intermediate use left end additionally charges half hour thats handy love form factor craving smaller device long time works like charm,0.8074,positive
Iphone mini is in small screen but best in all sense.. thats it. The only thing is which i dont like it isbvery expensive.,iphone mini small screen best sense thats thing dont like isbvery expensive,0.4749,positive
"Similarly specced android handsets are available for supposedly much (much much) cheaper. Some people buy iPhones because it's sort of a status symbol. I couldnt care less about that. I just tend to value my privacy a bit more than what android pays me (in terms of cheaper upfront handsets).As far as review of the phone is concerned, there are many available online. I'd simply say that I'm more than satisfied with this.",similarly specced android handsets available supposedly much much much cheaper people buy iphones sort status symbol couldnt care less tend value privacy bit android pays terms cheaper upfront handsets far review phone concerned many available online simply say satisfied,0.3168,positive
Iphone 12 Mini is very cute.. Low weight.. Eazy to hold.. More over great performance.. Face recognition speed.. Display clarity.. Sound clarity.. Camera perfection.. Everything is just awesome. One difficulty I faced that there is no Charger inside the box. Since its a Ctype to Lightning charger Iam forced to purchase a charger. But there is no stock in any of the showrooms.. Usb to lightning cable costs same as charger.Thanks to Amazon and HDFC for providing extra discount..,iphone mini cute low weight eazy hold great performance face recognition speed display clarity sound clarity camera perfection everything awesome one difficulty faced charger inside box since ctype lightning charger iam forced purchase charger stock showrooms usb lightning cable costs charger thanks amazon hdfc providing extra discount,0.9545,positive
Camera is like Redmi 7A. I cant find any difference between less than 8k priced phone.Image Sharpness is zero.Battery will not last for office time.If you need a showoff hand set obviously go for it.You cant access your sms otp in some useful web app. Again if you want a showoff phone please go for it.You can't send a file through whatsapp etc etc. In name of security if don't able to do useful task then it simple useless.Prime attraction the camera is worse.,camera like redmi 7a cant find difference less 8k priced phone image sharpness zero battery last office time need showoff hand set obviously go cant access sms otp useful web app want showoff phone please go send file whatsapp etc etc name security able useful task simple useless prime attraction camera worse,0.9118,positive
"Awesome. Product as described. I use WhatsApp(20-30min), mail(15-20min), internet(10-15min), phone(about 10-15 incoming calls not more than 2 min. and 10-12 outgoing calls not more than 3 min. & Apple TV(about 1hr) and my battery lasts almost up to 40 hr. Its a feature packed phone with worlds best mobile chip inside. Hats off to Appario Retail for such an excellent deal. Product & service quality what they supply deserves 5 star by default. Thank you Appario Retail. I will certainly buy from this seller in coming days.",awesome product described use whatsapp 30min mail 20min internet 15min phone incoming calls min outgoing calls min apple tv 1hr battery lasts almost hr feature packed phone worlds best mobile chip inside hats appario retail excellent deal product service quality supply deserves star default thank appario retail certainly buy seller coming days,0.959,positive
"Got this phone for a good deal for rs 60500/- 128gb and Battery is very decent. Avoid this phone if you are gamer. I charge my phone mostly with 80 to 90% daily and battery charge withstands for a whole day easily. It is very compact and pocket friendly. As Usual apple did a good job in terms of Performance, camera, display. Buy a 20w charger, with 40mins charge is enough to survive for a day...",got phone good deal rs 128gb battery decent avoid phone gamer charge phone mostly daily battery charge withstands whole day easily compact pocket friendly usual apple good job terms performance camera display buy 20w charger 40mins charge enough survive day,0.8481,positive
"A very compact , lightweight and a handy powerhouse ever.With an OLED display and processor A14 same as the high end model, 12 Mini is excelling smartphone industry with a 5.4 inch screen in a small body. The battery is really sufficient (Manageable and good for a little gaming and heavy activities). I had iPhone XR before this and compared to that , the battery is pretty similar and 12 mini is more efficient than older models (Based on usage and standby time) .I am highly satisfied with iPhone 12 Mini as this was the phone i have always wanted.This review might not appeal to large screen users as some love small screen and some do not! But this is the best in the world if you are considering for a small screen smartphone.",compact lightweight handy powerhouse ever oled display processor a14 high end model mini excelling smartphone industry inch screen small body battery really sufficient manageable good little gaming heavy activities iphone xr compared battery pretty similar mini efficient older models based usage standby time highly satisfied iphone mini phone always wanted review might appeal large screen users love small screen best world considering small screen smartphone,0.9755,positive
ONE & ONLY iPHONE.....,one iphone,0.0,neutral
"I’m loving it. The size is what I like the most. Fits easily in one hand and also in my pocket. Actually it doesn’t seem to me a small phone. Not heavy at all. Screen touch is as smooth as butter. I have migrated from iPhone 6 to this. There are no black bands on the top and bottom like what is there in iPhone 6 or iPhone SE 2020. Till now the battery backup also seems to be ok , maybe because my usage is not much and the phone is not even 10 days old. If I charge 100% on day one morning , the battery shows 20% on the afternoon of day two. Delivery by Amazon was top notch as usual and I got a good deal too.",' loving size like fits easily one hand also pocket actually ' seem small phone heavy screen touch smooth butter migrated iphone black bands top bottom like iphone iphone se till battery backup also seems ok maybe usage much phone even days old charge day one morning battery shows afternoon day two delivery amazon top notch usual got good deal,0.9678,positive
"After all it’s iPhone no need to mention anything personally I like the size of phone it’s perfect for every hand, look and feel really premium. Speaker output is average not loud compared to my redmi k20 pro which has single down firing speakers. Camera is awesome but limited options with camera app. Only battery is little downstairs but enough for moderate use.Finally I got it for 55k on Amazon with HDFC 9k instant discount which is worth buy.If u want small size big bomb then go for iPhone 12 mini u will never regret abt it.",' iphone need mention anything personally like size phone ' perfect every hand look feel really premium speaker output average loud compared redmi k20 pro single firing speakers camera awesome limited options camera app battery little downstairs enough moderate use finally got 55k amazon hdfc 9k instant discount worth buy u want small size big bomb go iphone mini u never regret abt,0.9049,positive
"Excellent cameras day and nightCompact size for corporates and business peopleExcellent Retina display, speakers are loud enough with chill nessIt’s like a new born baby from IPhone FamilyLol...People who love to have a compact size phone on hands can blindly go for this model.The cable given in the box is different and not like the previous models so guys you should purchase a USB C TYPE 20w adapter to charge your iPhone.",excellent cameras day nightcompact size corporates business peopleexcellent retina display speakers loud enough chill nessit' like new born baby iphone familylol people love compact size phone hands blindly go model cable given box different like previous models guys purchase usb c type 20w adapter charge iphone,0.9169,positive
"To those who are buying this phone for PUBGPros : PUBG is very much playable with no frame drops.U will get 2.5 to 3 hours play time on smooth ultra graphics.Moving to small screen may take some time to adjust especially the layouts.There is heating issue on continuous play which I manage with a fan.Those who are buying only for PUBG can go for iphone 11 which has bigger battery,screen,better thermals etc.best for who are a casual gamer who plays 2-3 hours a day, who like the premium small form factor, a good camera and polished iOS",buying phone pubgpros pubg much playable frame drops u get hours play time smooth ultra graphics moving small screen may take time adjust especially layouts heating issue continuous play manage fan buying pubg go iphone bigger battery screen better thermals etc best casual gamer plays hours day like premium small form factor good camera polished ios,0.9657,positive
I have been looking for an iPhone that’s smaller as a second phone with full screen and iPhone 12 mini has fulfilled by requirement. Everything an iPhone is in a smaller form factor. Brilliant as a second phone and if you are looking for smaller phones in a market that is crowded with above 6 inch smartphones which are a pain in the hand.,looking iphone ' smaller second phone full screen iphone mini fulfilled requirement everything iphone smaller form factor brilliant second phone looking smaller phones market crowded inch smartphones pain hand,0.7579,positive
Battery is not charging from 1st day of purchase. And there is no response from amazon for return the damage product.,battery charging 1st day purchase response amazon return damage product,-0.3612,negative
I am iPhone user from 10 year n so used almost iPhone XR . And this was another upgrade for me after long .. every thing is as expected but 4g network keep greeting disconnected ..I regret that I paid more now it is coming in 56000 after republicn hsfc bank discount n got in 61000 . I can return to get its bigger brother,iphone user year n used almost iphone xr another upgrade long every thing expected 4g network keep greeting disconnected regret paid coming republicn hsfc bank discount n got return get bigger brother,-0.0516,negative
Small form factor great display great battery. A handy device for those who do not like giant devices but want a performance beast and excellent camera 64k for 128gb variant. Best deal✌🏻.,small form factor great display great battery handy device like giant devices want performance beast excellent camera 64k 128gb variant best deal,0.9633,positive
